2025-02-12T06:59:15.137Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:59:15.138Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:59:15.138Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:59:15.162Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:59:15.162Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:59:15.163Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:59:15.167Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:59:15.168Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:59:15.168Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:59:15.176Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:59:15.177Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:59:15.177Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:59:15.245Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:59:15.246Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:59:15.246Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:59:15.257Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:59:15.258Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:59:15.258Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:59:25.147Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:59:25.148Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:59:25.149Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
